name,brand,price,url,image_url
"Barbie Fashionistas, Modna przyjaciółka, lalka #177",Barbie Fashionistas,"29,99",/p/barbie-fashionistas-modna-przyjaciolka-lalka-177-i7193074,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-fashionistas-modna-przyjaciolka-lalka-177-7193074.jpg
"Rainbow High, Junior High, Bella Harper, lalka modowa",Rainbow High,"129,99",/p/rainbow-high-junior-high-bella-harper-lalka-modowa-i7339871,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-bella-harper-lalka-modowa-7339871.png
"Barbie, Extra Moda, lalka z akcesoriami, #12",Barbie,"73,99",/p/barbie-extra-moda-lalka-z-akcesoriami-12-i7276347,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-extra-moda-lalka-z-akcesoriami-12-7276347.jpg
"Rainbow High, Junior High, Stella Monroe, lalka modowa",Rainbow High,"129,99",/p/rainbow-high-junior-high-stella-monroe-lalka-modowa-i7339872,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-stella-monroe-lalka-modowa-7339872.jpg
"Barbie, Karetka, zestaw do zabawy z dwoma lalkami i akcesoriami",Barbie,"299,99",/p/barbie-karetka-zestaw-do-zabawy-z-dwoma-lalkami-i-akcesoriami-i6786523,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-karetka-zestaw-do-zabawy-z-dwoma-lalkami-i-akcesoriami-6786523.jpg
"L.O.L. Surprise OMG Sports Doll S3, Sparkle Star, laleczka modowa",L.O.L. Surprise OMG Sports Doll S3,"129,99",/p/lol-surprise-omg-sports-doll-s3-sparkle-star-laleczka-modowa-i7331440,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-omg-sports-doll-s3-sparkle-star-laleczka-modowa-7331440.jpg
"Barbie Opiekunka, Karmienie i odpoczynek, lalka z figurką i akcesoriami, zestaw",Barbie Opiekunka,"79,99",/p/barbie-opiekunka-karmienie-i-odpoczynek-lalka-z-figurka-i-akcesoriami-zestaw-i6216748,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-opiekunka-karmienie-i-odpoczynek-lalka-z-figurka-i-akcesoriami-zestaw-6216748.jpg
"Barbie, Syrenka Malibu, lalka filmowa",Barbie,"99,99",/p/barbie-syrenka-malibu-lalka-filmowa-i7271930,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-syrenka-malibu-lalka-filmowa-7271930.jpg
"Barbie, Zabawa w basenie, zestaw z lalką i akcesoriami",Barbie,"59,99",/p/barbie-zabawa-w-basenie-zestaw-z-lalka-i-akcesoriami-i6609407,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-zabawa-w-basenie-zestaw-z-lalka-i-akcesoriami-6609407.jpg
"Enchantimals, Prita Parakeet & Flutter, zestaw z lalką i figurką",Enchantimals,"36,49",/p/enchantimals-prita-parakeet--flutter-zestaw-z-lalka-i-figurka-i7287855,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/enchantimals-prita-parakeet--flutter-zestaw-z-lalka-i-figurka-7287855.jpg
"Rainbow High, Pacific Coast, Finn Rosado, lalka modowa",Rainbow High,"109,99",/p/rainbow-high-pacific-coast-finn-rosado-lalka-modowa-i7102055,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-pacific-coast-finn-rosado-lalka-modowa-7102055.jpg
"Barbie, Cutie Reveal, lalka miś z akcesoriami, seria 2",Barbie,"119,99",/p/barbie-cutie-reveal-lalka-mis-z-akcesoriami-seria-2-i7232672,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-lalka-mis-z-akcesoriami-seria-2-7232672.jpg
"Barbie, Weterynarz, zestaw z lalką Chelsea",Barbie,"69,99",/p/barbie-weterynarz-zestaw-z-lalka-chelsea-i7236706,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-weterynarz-zestaw-z-lalka-chelsea-7236706.jpg
"Mermaze Mermaidz, Theme Doll, Kishiko, lalka modowa zmieniająca kolor",Mermaze Mermaidz,"149,99",/p/mermaze-mermaidz-theme-doll-kishiko-lalka-modowa-zmieniajaca-kolor-i7331436,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mermaze-mermaidz-theme-doll-kishiko-lalka-modowa-zmieniajaca-kolor-7331436.jpg
"L.O.L. Surprise, O.M.G., Sketches, lalka modowa",L.O.L. Surprise,"129,99",/p/lol-surprise-omg-sketches-lalka-modowa-i7262066,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-omg-sketches-lalka-modowa-7262066.jpg
"L.O.L. Surprise, Tweens Doll, Aya Cherry, laleczka modowa",L.O.L. Surprise,"89,99",/p/lol-surprise-tweens-doll-aya-cherry-laleczka-modowa-i7161849,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-doll-aya-cherry-laleczka-modowa-7161849.jpg
"Barbie, Color Reveal, Kolorowa niespodzianka, Imprezowe stylizacje, fioletowe włosy, 1 szt.",Barbie,"89,99",/p/barbie-color-reveal-kolorowa-niespodzianka-imprezowe-stylizacje-fioletowe-wlosy-1-szt-i7087005,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-color-reveal-kolorowa-niespodzianka-imprezowe-stylizacje-fioletowe-wlosy-1-szt-7087005.jpg
"Barbie Fashionistas, Modna przyjaciółka, lalka #179",Barbie Fashionistas,"29,99",/p/barbie-fashionistas-modna-przyjaciolka-lalka-179-i7193076,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-fashionistas-modna-przyjaciolka-lalka-179-7193076.jpg
"Barbie, Color Reveal, Kolorowa niespodzianka, seria Słońce i deszcz, lalka i akcesoria, 1 szt.",Barbie,"98,49",/p/barbie-color-reveal-kolorowa-niespodzianka-seria-slonce-i-deszcz-lalka-i-akcesoria-1-szt-i7236729,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-color-reveal-kolorowa-niespodzianka-seria-slonce-i-deszcz-lalka-i-akcesoria-1-szt-7236729.jpg
"Barbie, Cutie Reveal, Zimowa kraina, lalka sowa śnieżna, 1 szt.",Barbie,"119,99",/p/barbie-cutie-reveal-zimowa-kraina-lalka-sowa-sniezna-1-szt-i7276350,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-zimowa-kraina-lalka-sowa-sniezna-1-szt-7276350.jpg
"Rainbow High, Vision Shadow High, Harley Limestone, lalka modowa",Rainbow High,"189,99",/p/rainbow-high-vision-shadow-high-harley-limestone-lalka-modowa-i7295590,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-vision-shadow-high-harley-limestone-lalka-modowa-7295590.png
"Rainbow High, Kendall Teal, Boy, lalka modowa",Rainbow High,"131,99",/p/rainbow-high-kendall-teal-boy-lalka-modowa-i6857334,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-kendall-teal-boy-lalka-modowa-6857334.jpg
"L.O.L. Surprise, O. M. G. Fierce Lady Diva, lalka modowa",L.O.L. Surprise,"119,99",/p/lol-surprise-o-m-g-fierce-lady-diva-lalka-modowa-i7295588,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-o-m-g-fierce-lady-diva-lalka-modowa-7295588.jpg
"Rainbow Vision, Rainbow High, Ayesha Sterling, lalka modowa",Rainbow Vision,"189,99",/p/rainbow-vision-rainbow-high-ayesha-sterling-lalka-modowa-i7297483,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-vision-rainbow-high-ayesha-sterling-lalka-modowa-7297483.jpg
"Barbie, Extra Moda, lalka ze zwierzątkiem #6",Barbie,"87,99",/p/barbie-extra-moda-lalka-ze-zwierzatkiem-6-i6958113,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-extra-moda-lalka-ze-zwierzatkiem-6-6958113.jpg
"Barbie, Barbie w podróży, lalka z akcesoriami i naklejkami",Barbie,"99,99",/p/barbie-barbie-w-podrozy-lalka-z-akcesoriami-i-naklejkami-i6411547,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-barbie-w-podrozy-lalka-z-akcesoriami-i-naklejkami-6411547.jpg
"Barbie, Wóz strażacki Chelsea, zestaw z lalką",Barbie,"99,99",/p/barbie-woz-strazacki-chelsea-zestaw-z-lalka-i7102358,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-woz-strazacki-chelsea-zestaw-z-lalka-7102358.jpg
"L.O.L. Surprise, O. M. G. Fierce Swag, lalka modowa",L.O.L. Surprise,"119,99",/p/lol-surprise-o-m-g-fierce-swag-lalka-modowa-i7295585,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-o-m-g-fierce-swag-lalka-modowa-7295585.jpg
"Barbie, Tęczowa przemiana, lalka syrenka",Barbie,"99,99",/p/barbie-teczowa-przemiana-lalka-syrenka-i6858042,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-teczowa-przemiana-lalka-syrenka-6858042.jpg
"L.O.L. Surprise, Tweens, Masquerade, Miss Hops, lalka modowa",L.O.L. Surprise,"109,99",/p/lol-surprise-tweens-masquerade-miss-hops-lalka-modowa-i7339874,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-masquerade-miss-hops-lalka-modowa-7339874.jpg
"Barbie, Opiekunka Skipper, zestaw z lalką i akcesoriami",Barbie,"92,49",/p/barbie-opiekunka-skipper-zestaw-z-lalka-i-akcesoriami-i7278831,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-opiekunka-skipper-zestaw-z-lalka-i-akcesoriami-7278831.jpg
"Barbie Looks, blond Ken z zarostem, lalka",Barbie Looks,"89,99",/p/barbie-looks-blond-ken-z-zarostem-lalka-i7358433,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-looks-blond-ken-z-zarostem-lalka-7358433.jpg
"L.O.L. Surprise, Tweens Doll, Gracie Skates, laleczka modowa",L.O.L. Surprise,"79,99",/p/lol-surprise-tweens-doll-gracie-skates-laleczka-modowa-i7161847,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-doll-gracie-skates-laleczka-modowa-7161847.jpg
"Disney Princess, Księżniczka Roszpunka, lalka",Disney Princess,"60,49",/p/disney-princess-ksiezniczka-roszpunka-lalka-i6958295,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/disney-princess-ksiezniczka-roszpunka-lalka-6958295.jpg
"Barbie, Zestaw prezentowy, samochód + łódź + 2 lalki",Barbie,"149,99",/p/barbie-zestaw-prezentowy-samochod--lodz--2-lalki-i7237624,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-zestaw-prezentowy-samochod--lodz--2-lalki-7237624.jpg
"Barbie, Extra Fancy, lalka w różowym stroju",Barbie,"129,99",/p/barbie-extra-fancy-lalka-w-rozowym-stroju-i7271928,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-extra-fancy-lalka-w-rozowym-stroju-7271928.jpg
"Kraina Lodu Forever, Anna w stroju podróżnym, lalka",Kraina Lodu Forever,"60,49",/p/kraina-lodu-forever-anna-w-stroju-podroznym-lalka-i7067882,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/kraina-lodu-forever-anna-w-stroju-podroznym-lalka-7067882.jpg
"Rainbow High, Stella Monroe, lalka modowa",Rainbow High,"129,99",/p/rainbow-high-stella-monroe-lalka-modowa-i6857331,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-stella-monroe-lalka-modowa-6857331.jpg
"L.O.L. Surprise, O.M.G. Present Surprise, Miss Glam, laleczka modowa",L.O.L. Surprise,"89,49",/p/lol-surprise-omg-present-surprise-miss-glam-laleczka-modowa-i6972812,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-omg-present-surprise-miss-glam-laleczka-modowa-6972812.jpg
"Rainbow High, Ainsley, lalka modowa",Rainbow High,"229,99",/p/rainbow-high-ainsley-lalka-modowa-i7261150,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-ainsley-lalka-modowa-7261150.jpg
"L.O.L. Surprise, O.M.G., Melrose, lalka modowa",L.O.L. Surprise,"107,99",/p/lol-surprise-omg-melrose-lalka-modowa-i7262065,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-omg-melrose-lalka-modowa-7262065.jpg
"Miraculous: Biedronka i Czarny Kot: Ruda Kitka, figurka",Miraculous: Biedronka i Czarny Kot: Ruda Kitka,"29,99",/p/miraculous-biedronka-i-czarny-kot-ruda-kitka-figurka-i6886380,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/miraculous-biedronka-i-czarny-kot-ruda-kitka-figurka-6886380.jpg
"L.O.L. Surprise, Hair Hair Hair Tots, laleczka niespodzianka",L.O.L. Surprise,"60,99",/p/lol-surprise-hair-hair-hair-tots-laleczka-niespodzianka-i7102075,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-hair-hair-hair-tots-laleczka-niespodzianka-7102075.jpg
"Mermaze Mermaidz, Syrenka Riviera, lalka modowa zmieniająca kolor, teal",Mermaze Mermaidz,"119,99",/p/mermaze-mermaidz-syrenka-riviera-lalka-modowa-zmieniajaca-kolor-teal-i7185922,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mermaze-mermaidz-syrenka-riviera-lalka-modowa-zmieniajaca-kolor-teal-7185922.jpg
"Barbie, Kemping Kena, zestaw z lalką i akcesoriami",Barbie,"75,99",/p/barbie-kemping-kena-zestaw-z-lalka-i-akcesoriami-i7236710,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-kemping-kena-zestaw-z-lalka-i-akcesoriami-7236710.jpg
"Steffi Love, lalka tańcząca baletnica",Steffi Love,"61,99",/p/steffi-love-lalka-tanczaca-baletnica-i7236644,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/steffi-love-lalka-tanczaca-baletnica-7236644.jpg
"Mermaze Mermaidz, Syrenka Jordie, lalka modowa zmieniająca kolor, czarna",Mermaze Mermaidz,"119,99",/p/mermaze-mermaidz-syrenka-jordie-lalka-modowa-zmieniajaca-kolor-czarna-i7185920,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mermaze-mermaidz-syrenka-jordie-lalka-modowa-zmieniajaca-kolor-czarna-7185920.jpg
"Enchantimals, Miejski domek z kawiarenką, zestaw z lalką i akcesoriami",Enchantimals,"199,99",/p/enchantimals-miejski-domek-z-kawiarenka-zestaw-z-lalka-i-akcesoriami-i7236718,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/enchantimals-miejski-domek-z-kawiarenka-zestaw-z-lalka-i-akcesoriami-7236718.jpg
"Rainbow High, Vision Shadow High, Mara Pinkett, lalka modowa",Rainbow High,"189,99",/p/rainbow-high-vision-shadow-high-mara-pinkett-lalka-modowa-i7295593,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-vision-shadow-high-mara-pinkett-lalka-modowa-7295593.jpg
"L.O.L. Surprise, Tweens, Masquerade, Royal Heartbreaker, lalka modowa",L.O.L. Surprise,"99,99",/p/lol-surprise-tweens-masquerade-royal-heartbreaker-lalka-modowa-i7339866,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-masquerade-royal-heartbreaker-lalka-modowa-7339866.jpg
